lap_id,driver,air_temp,track_temp,track_usage,humidity,wind_vel,wind_dir,precipitation,cloud_cover,fog_level,fuel_level,fuel_used,tire_compound
01K72NMJZ6ETFGZ1N5MQ5CP68T,Alex Baconnais,19.156796,21.111114501953125,42.0,0.9092191,4.137208,0.9451987,0,1,0,30.19002,3.08604,1.0
01JVQ69FFER7WWVK6JP98YQ5ZT,Alex Kovács,23.554155,25.555572509765625,-1.0,0.33975837,0.65569407,3.563568,0,2,0,19.779463,3.1051872,1.0
01K6W6KGSQ7X788YY88T3N83QC,Alex Marconi,19.588287,20.555572509765625,42.0,0.9345768,4.821239,2.1482992,0,2,0,89.18141,2.9272816,1.0
01JXWDKCD1MKQC3Z66ZK66GMT6,Alex Odnoshivkin2,21.340563,37.77777099609375,15.0,0.6821477,4.227449,6.060592,0,2,0,27.743708,3.0471227,1.0
01KDASG9D600NZ1BGE321MDG95,Alex Salas Hernandez,18.82831,23.888885498046875,57.0,0.6377487,3.222192,1.4032437,0,2,0,24.064096,3.0999415,1.0
01KEBVGQ3REKAKTN8Z1NSRF1TJ,Alex Stepanovskiy,20.235628,34.4444580078125,57.0,0.6460302,2.7097986,3.5016105,0,2,0,12.243815,3.0304143,1.0
01K6Y1VB4GVPB2HGTA7MX1VAEZ,Alexander Cole3,18.889128,20.555572509765625,57.0,0.95,2.667673,5.931204,0,2,0,17.711996,3.122345,1.0
01K77E61FDAKJAMBJKSTRCVQZ2,Alexander Dræby,19.490347,20.555572509765625,57.0,0.9496673,3.2467792,4.9056706,0,3,0,17.213171,3.0770254,1.0
01KDDBMDRX65HFN7Q4DXEAYG4E,Alexander Paulick,18.91329,24.4444580078125,15.0,0.7766159,4.413625,2.962556,0,2,0,38.53615,3.0712106,1.0
01KD5GZ2Y439N6QGR8XHYVQ3WG,Alexander Pushkin,19.939783,20.0,28.0,0.3627475,0.59787124,2.1003833,0,3,0,15.046762,3.0949233,1.0
01KD740E7722CHV96NJB5H429W,Alexander Rönnbäck,19.301685,24.4444580078125,57.0,0.5844553,4.872835,0.7303054,0,2,0,38.651688,2.9969127,1.0
01K7F79GTZ1KH195EGBYW7HQ6H,Alexander Wolters2,19.474625,22.22222900390625,28.0,0.95,4.1825123,5.466813,0,2,0,44.735756,3.0877626,1.0
01KDBH3VHD8YK0GNYPVD6A6DCT,Alexandr Demchenko,18.868755,24.4444580078125,-1.0,0.726581,7.147408,0.883722,0,2,0,25.266502,3.078269,1.0
01KDE3ASB62C0YQAYJC9KNM2KC,Alexandre Bernardi,18.995577,24.4444580078125,95.0,0.63263935,3.4357426,1.3367087,0,2,0,18.810318,3.0791066,1.0
01KDMWDWMQ4Z5Y41PDH0FAG92T,Alfred Kroner,18.695139,24.4444580078125,15.0,0.7806381,5.116549,6.0250053,0,2,0,34.02485,3.0360863,1.0
