driver,lap_time_s,lap_time_str,lap_id,n_samples,filename
Michael Owen,128.918,02:08.918,01KFRB3B8MFVZX836XHFG96NA6,7735,Garage 61 - Michael Owen - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.08.918 - 01KFRB3B8MFVZX836XHFG96NA6.csv
Jordan Edge,128.967,02:08.967,01KFV4GTD8FE9CH1PNACMTP28C,7738,Garage 61 - Jordan Edge - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.08.967 - 01KFV4GTD8FE9CH1PNACMTP28C.csv
Yves Queisert,128.97,02:08.970,01KFQXB59SGJFS37T0BSTJS967,7738,Garage 61 - Yves Queisert - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.08.970 - 01KFQXB59SGJFS37T0BSTJS967.csv
Andreas Michalopoulos,129.003,02:09.003,01KDC9MX87KF3E8DEVM9BQNJE6,7740,Garage 61 - Andreas Michalopoulos - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.09.003 - 01KDC9MX87KF3E8DEVM9BQNJE6.csv
Nicholas Veen,129.03,02:09.030,01KFM53SSXWCRRWX3CWZG0TVNJ,7742,Garage 61 - Nicholas Veen - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.09.030 - 01KFM53SSXWCRRWX3CWZG0TVNJ.csv
Linus Rupp,129.042,02:09.042,01KFRW6N4T5GDYQPKYM5Z7ERDQ,7743,Garage 61 - Linus Rupp - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.09.042 - 01KFRW6N4T5GDYQPKYM5Z7ERDQ.csv
philip robichaud,129.074,02:09.074,01KD4RWG5HDXABW671WHHK13XR,7745,Garage 61 - philip robichaud - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.09.074 - 01KD4RWG5HDXABW671WHHK13XR.csv
Mark Nikirk,129.099,02:09.099,01KFMJVDWHNY85W32CTA9TDWE5,7747,Garage 61 - Mark Nikirk - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.09.099 - 01KFMJVDWHNY85W32CTA9TDWE5.csv
Yves Queisert,129.186,02:09.186,01KFQXB59SGJFS37T0BVW1KMQ3,7751,Garage 61 - Yves Queisert - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.09.186 - 01KFQXB59SGJFS37T0BVW1KMQ3.csv
Jacopo Marzellan,129.258,02:09.258,01KGSZZWGRTC0AASB5EAXE8EWY,7756,Garage 61 - Jacopo Marzellan - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.09.258 - 01KGSZZWGRTC0AASB5EAXE8EWY.csv
Joshua Arcilla,129.478,02:09.478,01KDCJT0EAH0QT2ERG70DC8JTQ,7769,Garage 61 - Joshua Arcilla - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 02.09.478 - 01KDCJT0EAH0QT2ERG70DC8JTQ.csv
