driver,lap_time_s,lap_time_str,lap_id,n_samples,filename
Jaka Bezjak,102.47,01:42.470,01KDGYFP2Q5RKHME591CP4F56K,6148,Garage 61 - Jaka Bezjak - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.470 - 01KDGYFP2Q5RKHME591CP4F56K.csv
Faizal Mehrabi,102.471,01:42.471,01KD8D7M4TJ6V9XSTDEJ1WPGXH,6149,Garage 61 - Faizal Mehrabi - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.471 - 01KD8D7M4TJ6V9XSTDEJ1WPGXH.csv
Joshua Wilk,102.471,01:42.471,01KD8QSNDQ73SYK0RWDVQ3SQ0Z,6147,Garage 61 - Joshua Wilk - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.471 - 01KD8QSNDQ73SYK0RWDVQ3SQ0Z.csv
Ozgur Koc,102.471,01:42.471,01KDBE2Z4VG7EB9M841RMX3ZG5,6148,Garage 61 - Ozgur Koc - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.471 - 01KDBE2Z4VG7EB9M841RMX3ZG5.csv
David Schwiegeraht,102.471,01:42.471,01KDENJM5HSX0RZ6WG5EXZ1BBH,6148,Garage 61 - David Schwiegeraht - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.471 - 01KDENJM5HSX0RZ6WG5EXZ1BBH.csv
Jean-Michel Noyon,102.472,01:42.472,01KD5X67Z39KK15AJ9H3EQX4TW,6148,Garage 61 - Jean-Michel Noyon - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.472 - 01KD5X67Z39KK15AJ9H3EQX4TW.csv
John Doe,102.472,01:42.472,01KDJ30PNAR4H7VPDYQDR2WJAG,6147,Garage 61 - John Doe - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.472 - 01KDJ30PNAR4H7VPDYQDR2WJAG.csv
Matthieu Laurent,102.472,01:42.472,01KDDG18ATCNV3S3ZFGD0ESZ6N,6149,Garage 61 - Matthieu Laurent - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.472 - 01KDDG18ATCNV3S3ZFGD0ESZ6N.csv
Pontus Eriksson,102.472,01:42.472,01KDGSRQRSA02F9S07HW5PWKQ2,6148,Garage 61 - Pontus Eriksson - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.472 - 01KDGSRQRSA02F9S07HW5PWKQ2.csv
Alexander Rönnbäck,102.472,01:42.472,01KDBQXKF9VPVX72YR0WEDPFFE,6149,Garage 61 - Alexander Rönnbäck - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.472 - 01KDBQXKF9VPVX72YR0WEDPFFE.csv
John Rossignol,102.473,01:42.473,01KDNWY9RZVFPJYHN3GXGBGN1D,6148,Garage 61 - John Rossignol - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.473 - 01KDNWY9RZVFPJYHN3GXGBGN1D.csv
Alden Lisboa,102.473,01:42.473,01KDDF0QSMEVGVHNPCEJTKNWYV,6149,Garage 61 - Alden Lisboa - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.473 - 01KDDF0QSMEVGVHNPCEJTKNWYV.csv
Arthur Lynch,102.473,01:42.473,01KDG54XF231V6849HGDQ9PYJ4,6148,Garage 61 - Arthur Lynch - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.473 - 01KDG54XF231V6849HGDQ9PYJ4.csv
Sergei Romanov,102.473,01:42.473,01KDG7FTQN3Z2J5NB2FKV1BK1J,6148,Garage 61 - Sergei Romanov - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.473 - 01KDG7FTQN3Z2J5NB2FKV1BK1J.csv
Alden Lisboa,102.473,01:42.473,01KDEPKKDHF2NN4PEHNV1NDH51,6148,Garage 61 - Alden Lisboa - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.473 - 01KDEPKKDHF2NN4PEHNV1NDH51.csv
Dwarak Adugodi Vittal,102.474,01:42.474,01KD6G6CXTHCYZC3W6A5K3J2NS,6148,Garage 61 - Dwarak Adugodi Vittal - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.474 - 01KD6G6CXTHCYZC3W6A5K3J2NS.csv
Anthony Ramirez,102.474,01:42.474,01KDKJYFDNYQWVY2RBX3TZGD3G,6148,Garage 61 - Anthony Ramirez - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.474 - 01KDKJYFDNYQWVY2RBX3TZGD3G.csv
Gabriel Viera Lorenzo,102.475,01:42.475,01KD3MB70S3W94Y2FP7VWZ1HBM,6148,Garage 61 - Gabriel Viera Lorenzo - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.475 - 01KD3MB70S3W94Y2FP7VWZ1HBM.csv
Pierre-Louis Fort,102.475,01:42.475,01KDNJ6ZRC83RVKND2RTE76YFK,6148,Garage 61 - Pierre-Louis Fort - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.475 - 01KDNJ6ZRC83RVKND2RTE76YFK.csv
Dmitry Sokolov,102.476,01:42.476,01KD3JYQ3EHV45BZGJ8E7DX2TC,6149,Garage 61 - Dmitry Sokolov - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.476 - 01KD3JYQ3EHV45BZGJ8E7DX2TC.csv
Ratchapol Chiengkul,102.476,01:42.476,01KDC2PXVTE50VBM3G9B1EDP0D,6148,Garage 61 - Ratchapol Chiengkul - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.476 - 01KDC2PXVTE50VBM3G9B1EDP0D.csv
Christian Rivera,102.476,01:42.476,01KDK9RQDV4K7X41PQSEZX3CST,6149,Garage 61 - Christian Rivera - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.476 - 01KDK9RQDV4K7X41PQSEZX3CST.csv
Daniel Hölbling-Inzko,102.476,01:42.476,01KDGTQNPSWX32MA825M2Q2C9Y,6149,Garage 61 - Daniel Hölbling-Inzko - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.476 - 01KDGTQNPSWX32MA825M2Q2C9Y.csv
Arthur Lynch,102.476,01:42.476,01KDB318N60YAD4BANQBJ1F2B3,6150,Garage 61 - Arthur Lynch - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.476 - 01KDB318N60YAD4BANQBJ1F2B3.csv
Pontus Eriksson,102.477,01:42.477,01KD3WEXY0X0PCBXCCYN893BKS,6148,Garage 61 - Pontus Eriksson - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.477 - 01KD3WEXY0X0PCBXCCYN893BKS.csv
Marcel Lucke,102.477,01:42.477,01KDHHC3DA7HG8VFJZYE3K1JA5,6148,Garage 61 - Marcel Lucke - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.477 - 01KDHHC3DA7HG8VFJZYE3K1JA5.csv
Ryley Fadden,102.478,01:42.478,01KDE4G2A2WWTNBA02EGGT8JW9,6149,Garage 61 - Ryley Fadden - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.478 - 01KDE4G2A2WWTNBA02EGGT8JW9.csv
Nuno Gomes,102.478,01:42.478,01KDK9YA9GJ2VBZXKVG42HSGVB,6149,Garage 61 - Nuno Gomes - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.478 - 01KDK9YA9GJ2VBZXKVG42HSGVB.csv
Jaka Bezjak,102.479,01:42.479,01KDGYFP2H1YKG0G9TFFGFG6C2,6149,Garage 61 - Jaka Bezjak - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.479 - 01KDGYFP2H1YKG0G9TFFGFG6C2.csv
Ignacio Gamez,102.479,01:42.479,01KDKSR7WHNRJ8PQVH3ZNQ7Z6N,6148,Garage 61 - Ignacio Gamez - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.479 - 01KDKSR7WHNRJ8PQVH3ZNQ7Z6N.csv
Sergi Cardó Catalan,102.479,01:42.479,01KD5Z0DAQ3X1A8B0QYXSMHR3A,6149,Garage 61 - Sergi Cardó Catalan - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.479 - 01KD5Z0DAQ3X1A8B0QYXSMHR3A.csv
Carlos Eduardo de Carvalho,102.479,01:42.479,01KDJGY6XRGSRE1YRZA7Z8C4WD,6149,Garage 61 - Carlos Eduardo de Carvalho - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.479 - 01KDJGY6XRGSRE1YRZA7Z8C4WD.csv
Joshua Smith,102.479,01:42.479,01KDN4P7AXE5QBK60ED1MFE885,6148,Garage 61 - Joshua Smith - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.479 - 01KDN4P7AXE5QBK60ED1MFE885.csv
Max Hastings,102.479,01:42.479,01KDN4J3144HJAD4JX1SSSZD1E,6149,Garage 61 - Max Hastings - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.479 - 01KDN4J3144HJAD4JX1SSSZD1E.csv
Daniel Hölbling-Inzko,102.479,01:42.479,01KDGTQNPSWX32MA824D42E0Z8,6149,Garage 61 - Daniel Hölbling-Inzko - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.479 - 01KDGTQNPSWX32MA824D42E0Z8.csv
Anthony Ramirez,102.48,01:42.480,01KDGZ1MZ0HXS8C5X2DKMNX1GC,6148,Garage 61 - Anthony Ramirez - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.480 - 01KDGZ1MZ0HXS8C5X2DKMNX1GC.csv
Piotr Kuźmiński,102.48,01:42.480,01KE5C6WDMNPTCE3ZHGD8MYCQP,6149,Garage 61 - Piotr Kuźmiński - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.480 - 01KE5C6WDMNPTCE3ZHGD8MYCQP.csv
Joshua Wilk,102.48,01:42.480,01KD6T0TV2EZHB8DFZXGYB9N2H,6147,Garage 61 - Joshua Wilk - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.480 - 01KD6T0TV2EZHB8DFZXGYB9N2H.csv
Pascal Dufresne,102.48,01:42.480,01KD8WHNGJQYY40QGY6E1MAV2E,6148,Garage 61 - Pascal Dufresne - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.480 - 01KD8WHNGJQYY40QGY6E1MAV2E.csv
William Boisvert,102.481,01:42.481,01KDM0XRP1H21FHJVFQZ234ET6,6149,Garage 61 - William Boisvert - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.481 - 01KDM0XRP1H21FHJVFQZ234ET6.csv
Jacopo Marzellan,102.481,01:42.481,01KDH0H9A8TXRBEMGYKNF4QHMM,6150,Garage 61 - Jacopo Marzellan - Ferrari 296 GT3 - Autodromo Internazionale Enzo e Dino Ferrari (Grand Prix) - 01.42.481 - 01KDH0H9A8TXRBEMGYKNF4QHMM.csv
